gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
PRR15,87.13474639908794,2.2417112349612562,0.5452991407047953,4.110975183389909,3.9399155016921425e-5,0.005882375925599321,Up
LENG8,2133.6626989768833,1.1711971837754345,0.2858316591751501,4.0975068582509815,4.1762379856909054e-5,0.006170929798856469,Up
SCRIB,514.4409929781505,1.0255434163687867,0.2518378125995008,4.072237626998907,4.656363848671128e-5,0.006681656728830544,Up
LOC105602111,133.3381242903494,1.0276785611496946,0.25237875005911736,4.071969454278423,4.661729385914005e-5,0.006681656728830544,Up
LOC101107260,595.7444927493536,1.3023358324188024,0.3197593247498925,4.072862717725139,4.643879903467654e-5,0.006681656728830544,Up
EXOC3L4,953.2923345401827,1.1576118841113012,0.28496652071701395,4.062273284590044,4.8597136999320955e-5,0.006894775513710838,Up
ADRB1,126.92114540640695,1.646643632417807,0.40557419382873755,4.060030587432143,4.9066287755424924e-5,0.006894775513710838,Up
LOC106991804,588.2440201115124,2.3535100425551345,0.5802281890514115,4.056180114935092,4.988179891597606e-5,0.006941318678278493,Up
TOR4A,84.92751806149172,1.8792280006159168,0.4650290959300453,4.041097679829071,5.320159106032537e-5,0.007262270520644223,Up
ZNF771,745.19032141858,1.059830242572291,0.26589195787747694,3.985943204271943,6.721258932356592e-5,0.00875780038886064,Up
ZBTB45,213.55852642537164,1.3999647537018158,0.3544580334014967,3.9495923967847206,7.828438806141687e-5,0.009842545035827089,Up
MCRIP2,1761.3836373276404,1.4411999790668475,0.3663500983561217,3.9339418374220974,8.356401237933809e-5,0.010366742197344828,Up
ATP5MC3,4221.32592634798,1.0554008518630598,0.2689422947025817,3.924265065969665,8.69949089161444e-5,0.010478134701639476,Up
C3H9orf16,386.3195142516675,1.3453340033019816,0.3427957369656392,3.924593739731465,8.687622585652436e-5,0.010478134701639476,Up
BAIAP3,376.3604937995808,1.3420575551937108,0.3445674725526282,3.89490495214614,9.823724358805163e-5,0.011569840012981605,Up
LOC101103639,5435.852038461577,1.2723841512192013,0.3284052973387503,3.874432481844945,1.0687346828468423e-4,0.012453800170116902,Up
CEBPA,190.69792569867013,1.5453511124352275,0.4002778935767855,3.8606956247979305,1.1306467696712377e-4,0.013069000120724074,Up
SSPO,38.187843922845225,2.8589628253876076,0.7415428105082804,3.8554251823006287,1.1552866030138597e-4,0.013141843556347342,Up
HSPB7,20.989069663054288,2.2340432969171116,0.5837143888137901,3.827288378922916,1.2956269068539408e-4,0.014127264626961223,Up
ZBTB7B,1002.470089170513,1.1565081926447534,0.30303489172729425,3.8164192448357164,1.3540236285395258e-4,0.014403148683183795,Up
MESP1,44.48499907495043,1.4658516945838374,0.38413821299345563,3.8159486481726574,1.3566071807924457e-4,0.014403148683183795,Up
TUBB4A,179.18366265383298,1.363977635978919,0.35767290244761724,3.8134776960876415,1.370248968535687e-4,0.014441013577957355,Up
LOC114113841,117.42417924948674,1.3944305497937863,0.3669960556518206,3.7995791189557675,1.4494203432152556e-4,0.014923450994154824,Up
LOC101106288,3003.4822549175083,1.321155575633423,0.34737353558929696,3.803270659039029,1.4279819197473399e-4,0.014923450994154824,Up
GGT5,981.2566444667141,1.3452931667988643,0.354656503881733,3.7932285241481942,1.4870118841130335e-4,0.015067412967002093,Up
LOC114108710,85.62683704398236,8.286338053056845,2.194895160630668,3.775277380754668,1.5982971058045752e-4,0.015702785599073132,Up
PWWP2B,142.4432266295794,1.1204628313489602,0.29680465226970576,3.775085136909505,1.5995302431205452e-4,0.015702785599073132,Up
CST6,30.318728817647973,1.9799925261294062,0.5278143041937678,3.751305166224756,1.759164274114764e-4,0.017092186512698074,Up
SLX1A,396.9158949154692,1.243310828660564,0.3315220320503057,3.7503113170828475,1.7661516038546573e-4,0.017092186512698074,Up
MRPL57,394.0012423940266,1.6586391364775601,0.44374847183553706,3.7377912077459237,1.8564401141439704e-4,0.017553026197897732,Up
VASN,542.3092346741853,1.0887270634852377,0.29132866816904557,3.737109259887516,1.8614804870442024e-4,0.017553026197897732,Up
LOC114116592,102.19176504597391,1.261978654020893,0.3386627258845497,3.726358283819821,1.9426621457939328e-4,0.01819880819324473,Up
CCL21,170.20832348507997,1.39767496964193,0.37623886525636335,3.7148606874772914,2.0331567553185195e-4,0.018561296671325056,Up
LOC101108756,451.0493288624973,1.3402918796193821,0.360663397871943,3.716184917925233,2.0225358251022926e-4,0.018561296671325056,Up
RTN4R,63.630079581355375,1.3586310772805112,0.3661714605236059,3.710368567058013,2.069577223393378e-4,0.018774209077783096,Up
RNF224,155.02223906829,1.5718440717169457,0.42761879281803034,3.6758068123208774,2.3709889919848313e-4,0.020686516377991477,Up
KCTD4,27.51605831565157,2.571540340455068,0.7012543914780968,3.66705773497518,2.45357411864826e-4,0.020686516377991477,Up
HOXB3,100.19903778536725,1.091764161325836,0.29768497948162115,3.667515113550567,2.4491907811042423e-4,0.020686516377991477,Up
SPSB3,47.79516053097902,1.6167278810796835,0.4402696377117292,3.6721312182291608,2.4053611428724074e-4,0.020686516377991477,Up
LOC114111235,38.540262163863304,1.594096195623253,0.4343167972406221,3.670353543199677,2.422152204530761e-4,0.020686516377991477,Up
WDR97,145.77177377460725,1.6137285843163423,0.44092915887626793,3.6598363973682706,2.523763287125429e-4,0.021153859177993433,Up
ZFAT,1709.268802144005,1.5923643246509958,0.4359557982901274,3.652582052805458,2.5961659970887734e-4,0.02163421350946127,Up
CLIC3,44.113706474242136,1.8590347245167493,0.5100496873427165,3.644811026553208,2.6758834876048363e-4,0.022042205763126505,Up
NR4A2,86.87617485384935,-2.3987158464522413,0.6596310624384512,-3.636450711682579,2.764205046633053e-4,0.022639629104795174,Down
DMWD,355.46446754087856,1.1214704009105794,0.3096004434496026,3.622315228024325,2.919780087689675e-4,0.023379445808299502,Up
TP53I13,286.5516734693074,1.6865333454451756,0.466049705349458,3.618784275768531,2.959902402230109e-4,0.023569045072868975,Up
LOC105609758,99.45033167372786,-1.35404641208649,0.37455270567903476,-3.61510247171145,3.0022884405951373e-4,0.023750684056680113,Down
ATP2B3,199.69028304849274,1.1494494445995924,0.3180604118418568,3.6139343401564594,3.0158546698637973e-4,0.023750684056680113,Up
MCTP2,56.624433999157915,-2.328776493842583,0.6475809930951548,-3.596116190365697,3.23003572559035e-4,0.02529841642343524,Down
RFX2,48.7582874652314,1.6210580347880441,0.4514442622163216,3.5908265326700968,3.296309763209837e-4,0.025538382614100862,Up
GPC1,508.452263476446,1.1226133619389,0.313591916688604,3.579854269820521,3.437858787327386e-4,0.0257983403134887,Up
IER5L,118.79531267403877,1.4673697721790786,0.4095985962758105,3.5824580101612433,3.4037634133749254e-4,0.0257983403134887,Up
CRTAC1,173.29658699598602,1.2197443915663777,0.34023670253847804,3.584987693761329,3.37094099815081e-4,0.0257983403134887,Up
PRIMPOL,253.23665984116178,1.4776713594394804,0.41265670861908704,3.580873226039035,3.4244779178618995e-4,0.0257983403134887,Up
ZFPM1,240.18197905133042,1.3257796743558798,0.3710380593590851,3.5731635634521526,3.5269430284732314e-4,0.02600314019544246,Up
