D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
LOC101114465	0	0	0	0	0	0	0	0	0
LOC114118682	1	3	23	1	3	11	8	3	2
LOC114118786	0	0	0	0	0	0	0	0	0
LOC114118712	19	30	48	225	164	67	18	35	74
LOC114118782	0	0	0	0	0	0	0	0	0
LOC101103424	0	0	0	0	0	0	0	0	0
LOC114118710	0	0	0	0	0	0	0	0	0
LOC101121850	0	0	0	0	0	2	0	0	0
PANK3	833	510	613	278	197	500	382	380	648
MIR103	0	0	0	0	0	0	0	0	0
SLIT3	530	309	279	320	477	750	289	375	598
MIR218A	0	0	0	0	0	0	0	0	0
TRNAC-ACA_69	0	3	0	0	0	0	0	0	0
LOC105602434	0	1	1	0	0	0	0	0	3
SPDL1	97	57	61	124	66	167	68	90	123
DOCK2	255	160	216	102	122	184	162	95	191
INSYN2B	0	0	0	0	1	0	2	0	0
LOC114118711	4	76	355	101	84	198	5	103	2
TRNAC-GCA_233	0	0	0	0	0	0	0	0	0
FOXI1	165	232	96	462	376	379	271	334	408
LOC114118798	0	0	0	0	0	0	0	0	0
LOC105602440	111	209	62	201	194	208	128	120	337
C16H5orf58	3	2	0	1	4	4	0	4	13
LCP2	236	163	129	261	200	261	126	83	202
KCNIP1	3	6	13	7	8	11	1	0	5
KCNMB1	363	259	200	279	185	431	133	119	319
LOC106991656	0	0	0	0	0	2	0	2	1
LOC114118716	3	2	0	0	0	1	0	0	1
GABRP	2	0	0	3	1	5	0	0	0
RANBP17	167	99	103	66	47	127	88	88	95
TLX3	0	0	0	0	0	0	0	0	0
NPM1	4385	3569	3510	3208	2836	3142	2114	2270	3128
FGF18	0	7	2	1	0	2	4	0	7
LOC114118717	0	1	0	0	0	0	0	0	0
LOC114118799	0	0	0	0	0	0	0	0	0
SMIM23	0	0	0	0	0	0	0	0	0
FBXW11	1363	894	954	613	464	1006	778	785	1157
LOC105602450	7	6	3	13	1	6	10	4	2
LOC114118718	3	9	8	2	2	2	6	2	6
STK10	381	334	296	309	197	418	302	300	323
EFCAB9	63	36	27	79	52	50	28	42	39
LOC114118720	9	7	7	7	2	10	4	0	12
UBTD2	472	333	309	238	180	413	197	223	419
SH3PXD2B	257	122	160	118	124	227	169	169	115
NEURL1B	290	136	169	191	143	446	145	175	92
LOC105602453	0	0	0	0	0	0	0	0	0
DUSP1	880	2744	933	545	937	677	256	319	1303
LOC105602454	1	0	2	0	1	2	3	2	0
ERGIC1	2145	1173	1604	1352	1332	1597	1734	1551	1540
RPL26L1	181	141	143	315	339	200	171	160	181
LOC114118787	0	0	0	0	0	0	0	0	0
ATP6V0E1	2813	1693	1555	2458	2136	1908	1497	1684	2559
CREBRF	2102	1093	1345	673	536	1470	679	888	1272
LOC114118721	6	1	14	10	5	10	4	4	5
BNIP1	383	270	282	347	256	291	243	259	413
NKX2-5	0	0	0	0	0	0	0	0	0
STC2	33	16	31	11	7	4	4	14	8
BOD1	270	186	154	280	299	151	168	184	221
LOC114118722	0	0	1	1	0	0	3	0	1
LOC114118723	0	0	2	0	0	3	0	0	0
CPEB4	3457	2871	2425	1464	1129	2556	1753	1762	2831
NSG2	0	0	0	0	0	0	0	0	0
LOC114118724	0	0	0	0	0	0	0	0	0
MSX2	28	8	20	0	2	31	11	11	15
FAM169A	197	182	153	122	108	273	102	96	222
LOC101108339	913	643	641	561	531	648	457	405	790
GFM2	1471	534	720	448	340	561	1046	726	683
HEXB	12129	6063	8218	3647	3679	2829	6123	5980	9029
LOC101112162	3689	2199	1985	1029	1043	479	2045	1472	3214
LOC114118725	21	29	16	15	17	10	45	31	107
ENC1	218	133	112	175	120	264	95	113	308
LOC114118685	0	0	0	0	0	0	0	0	0
TRNAR-UCG_2	0	0	0	0	0	0	0	0	0
ARHGEF28	1283	968	1221	951	1045	1411	1107	752	1860
LOC114118727	82	50	54	49	43	92	36	43	69
UTP15	525	321	346	149	107	331	257	293	463
ANKRA2	342	195	202	238	217	275	163	151	288
LOC101113624	0	0	0	0	0	0	0	0	0
BTF3	4073	3524	3282	2978	2879	2680	1811	1777	3234
FOXD1	65	50	27	87	104	77	74	39	51
LOC114118797	0	0	0	0	0	0	0	0	0
LOC105602473	2	2	5	5	1	3	0	5	9
TMEM174	12440	4578	4932	6137	5783	3302	6750	6732	6306
TMEM171	387	443	557	666	643	585	347	371	616
FCHO2	2265	1314	1622	269	266	1222	842	995	1196
TNPO1	3221	1740	1854	1082	917	2308	1363	1347	2983
LOC105602476	52	11	27	40	25	31	34	18	42
LOC114118777	0	0	0	0	0	0	0	0	0
LOC101115733	0	0	0	0	0	0	0	0	0
ZNF366	167	157	186	13	40	118	109	103	148
PTCD2	566	331	284	302	331	354	289	312	426
MRPS27	689	351	478	510	589	505	581	448	632
MAP1B	533	377	355	284	274	683	274	234	323
CARTPT	0	0	0	0	0	0	0	0	0
MCCC2	2824	1549	1822	1176	1124	1367	1554	1536	1906
BDP1	2060	1442	1537	562	520	1595	867	813	1528
LOC101117789	88	66	74	215	175	94	74	75	100
LOC101110178	346	278	214	292	274	261	165	189	351
NAIP	92	73	41	30	30	50	16	15	47
LOC101118051	597	333	342	431	340	742	346	417	538
OCLN	833	721	532	737	606	1635	355	567	680
MARVELD2	486	338	315	316	242	551	205	260	417
RAD17	712	422	456	421	322	478	341	318	493
AK6	129	85	78	216	215	89	83	61	116
TAF9	655	513	558	621	506	685	425	336	753
CCDC125	224	102	115	146	150	238	102	102	178
CDK7	321	209	220	144	137	265	188	164	250
MRPS36	1092	624	786	1017	926	706	651	558	1213
CENPH	22	10	24	15	3	9	5	9	23
CCNB1	13	12	28	11	7	23	7	7	15
SLC30A5	2295	1223	1230	972	861	1142	960	828	1817
LOC106990170	0	0	0	0	0	0	0	0	0
PIK3R1	4348	2653	5573	2345	2025	3802	2718	2215	4266
LOC114118788	0	0	0	0	0	0	0	0	0
CD180	26	23	51	28	58	12	18	12	36
LOC101122306	1151	675	850	381	380	745	474	702	783
TRNAC-ACA_70	0	0	0	0	0	0	0	0	1
SREK1	2027	1289	1269	926	893	2148	1070	1085	1704
ERBIN	10678	5626	6340	3587	3082	5901	5423	4645	11283
NLN	2835	1013	1339	884	798	1520	1151	1251	1872
SGTB	160	61	108	21	40	91	70	70	171
TRAPPC13	1262	670	725	598	565	773	532	594	1003
LOC114118731	68	33	28	40	18	53	31	30	48
TRIM23	823	447	439	348	283	550	376	384	609
PPWD1	363	198	250	212	157	289	231	153	314
CENPK	14	3	6	0	2	11	4	0	8
ADAMTS6	108	104	78	59	95	176	52	54	132
LOC106990331	20	4	7	11	0	13	6	3	4
LOC114118733	28	26	12	0	5	31	20	19	19
CWC27	264	163	263	250	222	207	152	157	205
SREK1IP1	704	452	564	140	96	509	273	250	523
SHISAL2B	217	160	150	207	206	244	99	111	217
LOC494442	0	0	0	0	0	0	0	1	0
RGS7BP	50	71	34	22	14	102	18	29	55
TRNAE-CUC_35	0	0	0	0	0	0	0	0	0
LOC114118677	0	0	0	0	0	0	0	0	0
RNF180	64	42	42	3	2	32	15	28	36
HTR1A	0	0	0	0	0	0	0	0	0
LOC114118734	24	4	5	3	8	23	9	10	1
LOC114118785	2	2	0	0	0	6	2	0	0
LOC106991659	41	23	60	15	22	25	36	19	25
IPO11	1065	680	781	960	672	819	449	513	956
LRRC70	200	106	205	153	101	182	73	71	180
DIMT1	259	111	138	76	79	154	88	72	140
KIF2A	947	624	675	450	392	919	389	508	765
LOC114118783	0	0	0	0	0	0	0	0	0
TRNAW-CCA_114	0	0	0	0	0	0	0	0	0
LOC114118736	2	0	1	1	1	1	0	0	3
ZSWIM6	419	299	275	149	162	471	265	221	347
SMIM15	1248	569	740	708	546	1058	550	532	1041
NDUFAF2	158	117	179	135	118	154	143	125	168
ERCC8	210	88	139	38	19	111	71	63	132
ELOVL7	2269	895	1010	1048	957	1239	738	1052	1519
LOC114118678	2	0	0	0	0	0	2	0	0
LOC114118679	0	1	0	0	0	0	0	0	0
LOC101112261	5	1	1	3	0	17	2	0	1
LOC105602518	213	109	251	196	204	62	203	96	179
LOC105602517	6	16	4	4	2	15	9	4	15
PDE4D	3143	2110	3088	1173	1036	2365	1584	1962	3340
LOC114118784	0	0	0	0	0	1	0	0	0
TRNAH-AUG_2	1	4	0	0	0	1	1	0	2
RAB3C	240	390	177	246	189	150	138	130	308
GAPT	21	10	12	14	7	11	7	5	2
PLK2	2053	1093	587	668	472	1263	471	849	646
LOC114118794	0	0	0	0	0	0	0	0	0
TRNAC-GCA_234	0	0	0	0	0	0	0	0	0
ACTBL2	0	0	4	0	0	0	0	1	0
LOC114118689	7	0	43	1	4	0	0	8	0
GPBP1	1982	1197	1489	1328	1025	1477	930	1166	1798
MIER3	1227	663	840	385	282	831	423	497	808
SETD9	86	44	36	64	50	72	22	21	80
MAP3K1	1974	1348	1200	1044	685	2507	831	1012	1431
LOC114118795	0	0	0	0	0	0	0	0	0
ANKRD55	0	0	0	0	0	3	0	1	5
LOC105602529	0	0	1	4	2	0	0	0	0
IL6ST	3806	2085	3233	1489	1048	3111	1311	1651	4011
IL31RA	0	0	0	0	0	0	0	0	0
DDX4	2	1	8	7	3	10	5	1	5
LOC114118690	1	0	1	1	4	2	1	0	1
SLC38A9	784	428	466	255	225	532	252	273	553
PLPP1	2331	2638	2240	1841	1568	3097	1128	1647	3292
MTREX	1356	810	1016	407	418	845	595	770	939
DHX29	1455	804	1012	612	519	905	678	698	1128
LOC114118739	4	7	2	4	0	26	9	4	12
CCNO	1	3	0	0	0	5	1	1	12
MCIDAS	0	0	2	0	0	1	0	0	0
CDC20B	0	0	0	1	0	0	0	0	0
GPX8	560	431	439	536	421	506	295	348	532
GZMA	19	7	10	17	6	10	4	3	0
LOC101117107	31	44	29	17	18	24	5	1	5
GZMK	17	4	8	8	14	5	7	3	15
LOC101117617	0	0	0	0	0	0	0	0	0
ESM1	29	12	15	26	34	53	30	34	6
LOC114118691	0	0	0	0	0	0	0	0	0
LOC101113531	119	81	83	58	37	119	58	60	48
LOC114118692	8	1	6	0	0	0	2	0	0
SNX18	1031	574	696	422	364	676	552	518	940
HSPB3	11	1	0	13	3	2	1	1	1
TRNAA-GGC	0	0	0	0	0	0	0	0	0
ARL15	3101	2189	3510	1752	1351	1215	1923	1773	3362
NDUFS4	1197	683	816	940	1003	711	832	690	1048
FST	3	7	3	0	1	38	3	6	4
LOC106990434	51	46	30	66	63	41	37	54	54
MOCS2	4039	1697	2292	1721	1728	1630	1973	1824	2511
LOC114118740	32	14	20	10	19	10	13	5	10
ITGA2	641	240	368	164	136	174	159	189	216
ITGA1	12440	6805	9894	3726	3324	9895	4797	5575	9893
PELO	546	423	433	488	502	463	302	356	639
ISL1	0	0	0	0	0	0	0	0	0
PARP8	670	460	480	476	361	899	497	353	701
LOC105602554	1	2	0	0	2	0	1	0	0
EMB	38	31	39	25	26	70	35	27	43
HCN1	6	4	3	7	2	78	1	1	11
LOC114118804	0	0	0	0	0	0	0	0	0
LOC114118805	0	0	0	0	0	0	0	0	0
LOC114118802	0	0	0	0	0	0	0	0	0
MRPS30	697	390	468	623	542	650	551	380	702
FGF10	42	18	47	14	2	21	17	20	26
LOC101104787	637	575	672	770	712	523	302	374	559
NNT	10715	5662	7524	4577	3967	5727	6885	6044	7673
LOC105602669	6	0	4	6	7	1	4	5	2
PAIP1	1906	1215	1325	1539	1550	1416	1071	1097	1718
C16H5orf34	138	88	102	82	81	135	93	49	111
TMEM267	445	220	255	236	166	520	197	181	439
CCL28	65	41	49	47	21	198	27	29	73
HMGCS1	1626	920	1296	1173	980	1670	1113	1034	1283
NIM1K	11	14	7	4	4	5	2	7	2
ZNF131	581	390	396	350	305	426	238	309	511
LOC114118701	0	0	0	0	0	0	0	0	0
SELENOP	13783	8379	12550	12865	10401	8420	9530	18287	77905
CCDC152	6	3	0	14	10	3	5	10	29
GHR	2772	1592	2293	1212	1051	1969	1323	1557	2154
LOC114118741	0	3	0	0	8	2	3	2	0
FBXO4	83	38	25	25	37	85	34	28	49
C16H5orf51	2851	1790	2180	745	759	1982	1242	1104	1872
OXCT1	56929	27940	39795	31664	26427	31608	41954	45072	48788
TRNAC-GCA_235	0	0	0	0	0	0	0	0	0
TRNAY-GUA_18	0	0	0	0	0	0	0	0	0
PLCXD3	168	96	82	54	47	267	85	56	110
C6	1	0	0	7	0	0	0	1	0
MROH2B	3	3	0	1	0	2	4	3	1
C7	6297	1581	1769	3254	2981	7978	3293	2330	6261
CARD6	577	498	517	420	431	499	455	466	696
RPL37	4518	3552	3713	7046	6715	3982	2632	2645	4033
LOC114118771	0	0	0	0	0	0	0	0	1
PRKAA1	1791	904	1065	466	486	1119	666	718	954
LOC105602567	16	11	8	16	12	9	13	11	19
TTC33	1241	742	776	609	437	809	477	631	945
PTGER4	243	199	212	298	305	328	135	180	285
TRNAE-CUC_36	0	0	0	0	0	0	0	0	0
DAB2	26223	19933	21764	14879	13486	8836	18650	18141	26055
C9	9	3	1	0	4	19	4	3	6
FYB1	467	242	284	225	221	284	213	216	396
RICTOR	1588	820	1144	419	373	1178	621	627	1086
OSMR	1180	835	577	533	493	1125	353	603	591
LOC114118742	18	12	13	1	17	20	4	1	9
LOC114118743	0	1	0	0	0	3	2	0	0
LIFR	7571	5195	5654	3085	2518	5941	2518	3334	8488
EGFLAM	435	341	408	679	720	388	375	480	478
LOC106991666	0	0	0	0	0	0	0	0	0
LOC114118770	0	0	0	0	0	0	0	0	0
LOC114118789	0	0	0	0	0	0	0	0	0
LOC114118792	0	0	0	0	0	0	0	0	0
GDNF	7	31	12	16	8	3	0	13	13
WDR70	239	200	189	203	225	198	170	155	214
NUP155	1257	553	721	372	362	863	515	561	885
CPLANE1	473	212	295	143	127	357	166	189	406
NIPBL	2610	1477	1933	840	674	1873	1272	1218	2014
SLC1A3	2567	919	1515	945	839	1013	775	1404	1199
LOC105602586	5	0	0	0	0	0	0	0	0
RANBP3L	3	1	5	1	0	22	0	2	0
NADK2	1481	816	817	672	599	1444	628	631	1124
SKP2	272	144	129	159	141	237	166	131	263
LMBRD2	582	232	355	27	17	183	232	180	305
UGT3A2	2	0	1	2	0	14	1	0	0
LOC101110449	249	1	4	15	22	49	102	7	0
CAPSL	0	0	0	0	0	0	0	0	1
IL7R	307	256	680	246	150	311	273	112	589
LOC114108742	0	0	0	0	0	5	0	0	0
LOC114118744	0	0	0	0	0	0	0	0	0
LOC114108755	0	0	0	0	0	1	0	0	0
LOC101111394	1	2	2	4	0	11	1	2	4
PR	137	24	93	0	6	7	80	41	79
AGXT2	5276	2852	3812	2733	2602	1792	4573	3639	4570
DNAJC21	625	492	562	637	563	472	383	356	641
BRIX1	367	252	277	462	349	410	175	205	467
RAD1	325	178	189	159	128	250	162	129	306
TTC23L	85	53	58	59	55	45	131	43	61
RAI14	1401	1217	1011	965	794	1244	923	920	1383
C1QTNF3	220	230	271	85	54	57	151	151	250
LOC114118791	0	0	0	0	0	0	0	0	0
AMACR	4277	2197	2868	1875	1769	1342	2127	2481	3436
SLC45A2	10	0	26	12	18	10	9	6	2
RXFP3	0	0	1	7	1	5	0	0	0
ADAMTS12	58	62	77	19	38	112	43	33	53
TRNAT-UGU_8	0	0	0	0	0	0	0	0	0
TARS	1854	937	1275	1027	999	1238	1170	1086	1473
NPR3	1259	1048	904	136	124	682	412	590	705
SUB1	1148	754	987	985	691	994	731	601	1353
ZFR	2745	1679	2083	1154	1020	2351	1527	1428	2496
MTMR12	484	285	299	309	308	503	224	259	350
GOLPH3	1659	1185	1351	964	890	1288	1200	1217	2030
PDZD2	776	599	740	417	434	1161	578	690	567
C16H5orf22	788	445	591	330	376	546	383	324	630
DROSHA	320	189	290	242	254	257	227	190	273
CDH6	5182	2687	5403	1932	1667	2597	3771	2929	3287
LOC114118746	266	147	261	192	163	169	185	181	259
TRNAC-GCA_236	0	0	0	0	0	0	0	0	0
LOC114118801	0	0	0	0	0	0	0	0	0
LOC114118747	100	74	74	16	12	81	60	43	51
CDH9	0	0	0	0	0	0	0	0	0
TRNAF-GAA_18	0	0	0	0	0	0	0	0	0
LOC101117364	0	0	0	0	0	1	0	0	0
CDH12	0	0	0	0	0	0	0	0	0
LOC114118780	0	0	0	0	0	0	0	0	0
LOC101118641	20	9	14	14	16	7	13	18	8
LOC114118749	0	5	0	0	0	3	0	2	2
TRNAW-CCA_115	0	0	0	0	0	0	0	0	0
CDH18	1	0	1	0	0	0	0	2	1
LOC114118790	0	0	0	0	0	0	0	0	0
TRNAS-GCU_6	0	0	0	0	0	0	0	0	0
BASP1	220	129	146	221	169	210	169	120	137
LOC114118751	0	0	0	0	0	0	0	0	0
MYO10	3342	2130	2184	1545	1468	1562	2284	2525	3490
RETREG1	4156	1872	2783	1919	1500	1122	1448	1480	3558
ZNF622	422	401	391	519	444	311	342	323	378
MARCH11	0	0	1	0	0	0	0	0	0
FBXL7	467	243	449	252	213	386	164	152	241
LOC114118796	0	0	0	0	0	0	0	0	0
ANKH	304	168	179	229	166	365	277	273	360
OTULIN	262	167	198	142	199	208	153	180	230
OTULINL	455	284	372	371	330	702	238	194	428
TRIO	1423	800	916	636	572	994	948	1092	1053
LOC114118793	0	0	0	0	0	0	0	0	0
DNAH5	68	36	25	41	38	38	12	36	30
LOC114118709	1	0	0	0	0	0	1	0	0
LOC101121119	3	4	6	1	4	7	7	3	3
LOC114118806	0	0	0	0	0	0	0	0	0
DAP	2067	1514	1348	1942	1776	2191	1408	1717	2016
ANKRD33B	2663	1166	1635	460	447	1272	989	1294	1147
LOC105602628	35	5	27	71	59	33	62	32	18
ROPN1L	3123	1225	845	1482	1371	876	785	571	1372
MARCH6	10126	5434	8812	3832	2980	4837	5798	5481	9378
CMBL	13489	5929	7859	6492	5551	2498	3905	4701	5811
CCT5	2009	1392	1268	1657	1574	1562	1205	1297	1926
ATPSCKMT	806	446	512	564	522	675	341	502	641
LOC114118755	26	5	7	14	16	9	19	56	19
TAS2R1	0	0	0	0	0	0	0	0	0
LOC114118756	1118	442	973	465	485	397	459	476	628
LOC114118772	2	1	1	0	0	5	1	5	2
SEMA5A	3629	1666	1597	912	739	1324	598	870	1118
LOC114118808	0	0	0	0	0	0	0	0	0
TRNAC-GCA_237	0	0	0	0	0	0	0	0	0
MTRR	592	534	404	447	351	494	420	424	495
FASTKD3	114	69	106	51	59	79	75	67	112
C16H5orf49	100	31	51	130	175	34	65	44	43
ADCY2	74	39	36	65	42	102	53	31	121
TRNAF-AAA	0	0	0	0	0	0	0	0	0
LOC114118699	0	0	0	0	0	0	0	0	0
LOC114118757	0	0	0	0	0	0	0	0	0
LOC114118759	120	112	74	83	40	115	26	50	179
LOC105602640	2	1	4	3	4	0	2	2	0
TENT4A	408	296	264	455	482	472	338	358	405
LOC114118700	19	19	5	19	25	16	6	21	21
SRD5A1	2537	2358	2282	4894	4248	6509	2465	2324	4406
NSUN2	927	622	639	922	799	853	727	739	1047
LOC114118769	2	3	4	0	0	8	0	4	4
UBE2QL1	44	53	26	71	68	241	40	36	118
MED10	432	258	202	422	376	404	263	307	361
ICE1	618	377	353	483	410	520	474	399	695
LOC105602647	85	70	17	6	20	14	40	32	10
ADAMTS16	592	171	350	305	250	487	178	174	269
LOC114118809	0	0	0	0	0	0	0	0	0
IRX1	32	35	10	117	118	197	17	71	56
LOC105602651	0	2	0	0	0	3	0	0	0
IRX2	31	36	18	69	126	215	18	81	80
LOC105602654	0	0	0	0	0	0	0	0	0
IRX4	0	0	0	0	0	0	0	0	0
LOC105602659	29	24	18	94	53	11	74	24	83
LOC105608080	140	60	81	381	423	87	212	87	317
NDUFS6	1654	800	1440	2795	2746	1400	1794	1362	1730
MRPL36	853	371	330	1779	1572	819	851	723	1011
LOC106991673	2	0	0	0	0	0	0	0	1
LPCAT1	177	105	111	117	188	267	142	128	171
SLC6A3	0	0	0	0	1	5	0	3	2
CLPTM1L	3923	1704	1887	2808	2708	2650	2571	2523	3546
TERT	31	7	13	30	42	180	26	40	58
SLC6A18	22660	5500	9872	17360	17224	17756	9235	13476	12546
SLC6A19	7371	2981	2858	866	1069	293	5361	3888	5642
SLC12A7	2042	1092	1075	1845	1866	2350	1708	1457	2744
NKD2	18	15	5	123	140	31	13	20	25
LOC105602658	0	0	0	0	0	0	0	0	0
TRIP13	58	38	30	70	27	87	28	29	42
BRD9	667	497	389	1107	1133	880	632	611	740
LOC101109601	1	0	0	0	0	2	0	5	4
TRNAS-GGA_91	0	0	0	0	0	0	0	0	0
TPPP	62	18	21	44	36	44	32	68	78
LOC114118765	0	0	0	0	0	0	2	1	0
CEP72	18	14	7	39	38	29	11	10	44
SLC9A3	2989	2207	2498	643	701	1376	3515	3344	4607
EXOC3	1923	1306	973	2090	1956	1652	1549	1281	1964
AHRR	1	0	0	0	10	0	0	0	1
PDCD6	608	311	436	410	430	251	435	350	527
SDHA	14788	6126	7343	9839	9626	8315	11684	10406	12678
CCDC127	329	245	186	318	347	276	239	263	373
LRRC14B	2	0	0	0	0	0	0	0	0
LOC114108867	0	0	0	0	0	0	0	0	0
LOC114108875	0	0	0	0	0	0	0	0	0
TMEM192	542	252	278	201	261	317	234	306	371
KLHL2	774	414	394	373	368	459	398	292	560
MSMO1	2096	905	1102	1774	1402	1831	1108	1024	1537
LOC105602686	0	0	0	0	0	1	0	0	0
CPE	572	490	434	841	634	721	443	347	541
TLL1	49	37	29	36	21	98	16	19	55
MAP9	331	150	227	74	77	240	129	155	272
NPY2R	0	0	0	0	0	0	0	0	0
RBM46	1	8	14	5	7	14	31	7	76
LRAT	52	201	226	379	157	199	342	433	364
FGG	10	37	161	124	150	13	226	22	19
FGA	0	0	5	3	0	0	0	0	0
FGB	96	62	29	114	123	206	30	75	35
PLRG1	1837	885	1114	804	800	1221	813	809	1334
DCHS2	0	0	0	0	0	0	0	0	1
LOC114108869	0	0	0	0	0	0	0	0	0
LOC114108916	0	0	0	0	0	0	0	0	0
SFRP2	84	18	70	135	79	85	195	33	69
RNF175	0	0	2	0	0	0	2	0	0
TLR2	824	258	445	79	77	118	222	14	379
TMEM131L	453	226	220	370	331	290	265	199	356
LOC114108905	0	0	0	0	0	0	0	0	0
MND1	2	7	3	0	9	7	6	2	5
TRIM2	934	676	670	409	345	1377	396	485	903
LOC114118833	0	3	0	0	0	2	3	1	0
FHDC1	51	40	21	39	19	52	52	24	35
ARFIP1	1629	947	1244	811	680	1347	767	876	1483
TIGD4	37	11	11	15	10	26	8	12	7
TMEM154	14	34	31	25	33	45	18	7	35
LOC114108931	0	0	2	0	0	0	0	0	0
FBXW7	341	224	218	272	180	385	211	159	313
LOC114108920	0	0	0	0	0	0	0	0	0
LOC105602703	0	0	0	0	0	0	0	0	0
LOC114108926	0	0	0	0	0	0	0	0	0
TRNAS-GGA_92	0	0	0	0	0	0	0	0	0
GATB	922	542	619	641	564	486	757	688	987
FAM160A1	274	243	199	226	173	193	227	199	286
LOC114108876	0	0	0	0	0	3	0	0	0
LOC114108895	0	0	0	0	0	0	0	0	0
LOC114108929	0	0	0	0	0	0	0	0	0
SH3D19	4089	1771	2665	1168	1047	986	1709	1839	2517
LOC114108888	0	2	0	0	0	0	0	0	0
RPS3A	26355	16033	19226	29228	24392	16745	8349	13107	19101
LOC114108879	9	0	4	5	3	0	2	0	2
LOC114108878	7	3	5	0	4	12	0	2	12
LOC114108783	7	7	3	15	17	22	13	7	10
LRBA	4270	1984	3088	1327	1107	2266	2287	2277	2583
MAB21L2	0	0	0	0	4	1	1	1	3
DCLK2	141	90	149	56	36	124	168	106	89
TRNAS-GGA_93	0	0	0	0	0	0	0	0	0
TRNAQ-UUG_6	0	0	0	0	0	0	0	0	0
IQCM	0	0	0	0	0	0	0	0	0
TRNAQ-UUG_7	0	0	0	0	0	0	0	0	0
LOC114108918	0	0	0	0	0	0	0	0	0
NR3C2	890	670	643	620	555	786	457	556	668
ARHGAP10	842	463	536	635	549	591	478	544	642
TRNAC-ACA_71	0	0	1	0	0	0	0	1	0
TRNAQ-UUG_8	0	0	0	0	0	0	0	0	0
LOC105602721	0	0	0	0	0	0	0	0	0
PRMT9	1011	532	742	580	467	724	440	471	739
TMEM184C	1993	1207	1556	880	821	1275	1201	1023	1786
EDNRA	259	192	164	158	126	284	72	152	143
LOC114108928	0	0	0	0	0	1	0	1	1
TTC29	14	2	6	6	9	29	5	5	2
POU4F2	0	0	0	0	0	0	0	0	0
LOC114108893	0	0	0	0	0	0	0	0	0
TRNAW-CCA_116	0	0	0	0	0	0	0	0	0
SLC10A7	327	196	223	141	134	260	136	175	392
REELD1	4	7	3	10	2	6	6	1	7
LSM6	271	259	254	446	395	252	161	161	309
ZNF827	540	346	377	211	218	484	368	319	726
C17H4orf51	3	0	0	0	0	1	0	0	1
MMAA	293	161	214	243	261	137	222	229	172
LOC114118834	0	0	0	0	0	0	0	0	0
SMAD1	540	309	241	216	252	463	289	214	393
LOC106991696	43	15	10	10	47	48	16	8	11
OTUD4	1440	851	848	439	412	998	622	648	1237
LOC114108785	3	1	1	1	1	0	1	10	4
ABCE1	1712	1067	1043	972	812	1505	784	815	1711
ANAPC10	100	78	101	99	84	85	76	75	87
HHIP	252	238	250	98	105	481	91	151	184
LOC105602739	5	1	0	2	6	2	0	0	0
FREM3	2	11	4	12	5	12	3	14	5
SMARCA5	3555	2417	2949	1654	1375	2262	1979	1913	3021
GAB1	888	433	497	448	294	954	364	505	639
USP38	1326	713	797	492	408	861	697	648	1247
LOC114108786	42	13	12	3	7	16	13	19	18
LOC114108871	0	3	1	3	6	3	0	0	0
INPP4B	336	298	255	125	96	552	194	134	311
TRNAS-GGA_94	0	0	0	0	0	0	0	0	0
LOC114108787	13	4	1	21	15	11	14	10	18
TRNAC-ACA_72	0	0	0	0	0	0	0	0	0
IL15	130	95	109	57	55	106	68	82	120
ZNF330	423	261	338	353	357	356	247	269	394
RNF150	228	232	204	151	124	659	122	137	196
TRNAG-CCC_99	0	0	0	0	0	0	0	0	0
TBC1D9	2886	1491	1637	883	883	1750	1319	1327	1448
UCP1	0	1	0	0	0	4	0	1	1
ELMOD2	1409	546	950	615	462	774	540	646	1116
MGAT4D	0	0	1	1	0	9	4	0	1
CLGN	137	89	150	60	48	86	116	61	130
SCOC	5335	1725	4595	2620	2044	2030	3773	2190	3899
LOC114108789	0	1	4	2	0	0	2	2	0
LOC114108790	105	60	115	33	31	66	122	66	73
TRNAC-GCA_238	0	0	0	0	0	0	0	0	0
LOC101115315	303	140	202	188	151	154	252	181	206
MGST2	884	605	515	438	437	406	703	646	1040
SETD7	627	312	402	266	196	400	331	256	396
RAB33B	395	294	293	251	201	335	181	168	294
LOC105602763	79	47	38	59	37	89	39	19	45
NAA15	1645	907	983	573	584	1003	664	722	1274
NDUFC1	2959	1318	1942	1435	1388	1755	1592	1557	2596
MGARP	24	23	25	59	62	57	26	14	57
TRNAE-CUC_37	0	0	0	0	0	2	0	0	0
ELF2	1165	865	761	769	714	1282	668	685	1111
NOCT	626	599	949	410	377	441	704	508	983
LOC114108932	0	0	0	0	0	0	0	0	0
LOC114108791	2	0	0	2	11	1	20	1	28
SLC7A11	6	5	1	0	5	3	3	3	1
LOC114108896	0	0	0	0	0	0	0	0	0
PCDH18	1124	542	464	256	200	600	303	554	609
TRNAC-ACA_73	0	0	0	0	0	0	0	0	0
TRNAW-CCA_117	0	0	0	0	0	0	0	0	0
LOC114108792	127	37	80	6	5	78	7	7	101
PABPC4L	142	162	93	98	53	170	54	92	118
LOC105602770	0	0	0	0	0	0	0	0	0
PCDH10	8	37	4	2	5	16	4	0	0
LOC114108793	0	0	0	0	0	2	4	0	4
TRNAS-GGA_95	0	0	0	0	0	0	0	0	0
LOC105602775	5	5	2	14	24	19	8	5	19
LOC114108794	6	3	6	21	10	11	9	2	11
