D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
LOC105608026	13	12	7	17	21	24	30	19	26
HPDL	4	0	2	27	8	7	4	6	14
MUTYH	80	71	31	134	148	86	71	63	85
TOE1	293	296	213	258	235	241	197	199	260
TESK2	242	136	169	101	92	152	136	102	155
CCDC163	23	27	29	13	23	17	19	35	34
MMACHC	320	190	279	377	378	164	264	280	294
PRDX1	6386	3661	3907	3663	3782	3172	4197	3326	3643
AKR1A1	8218	4979	4876	7038	7067	5010	5248	5745	9423
NASP	727	516	607	542	660	637	461	390	531
CCDC17	39	40	21	61	59	54	23	35	38
GPBP1L1	2730	2630	2533	1726	1413	2100	1600	1775	2545
TMEM69	387	141	229	361	203	258	219	211	334
IPP	308	146	190	148	180	215	140	150	251
LOC114115297	0	0	0	0	0	0	0	0	0
MAST2	320	186	231	309	269	284	299	220	269
PIK3R3	243	158	150	153	145	370	132	114	170
TRNAC-ACA_2	0	0	0	0	0	0	0	0	0
LOC114111041	0	0	0	0	0	0	0	0	0
P3R3URF	0	0	0	0	3	0	0	0	0
TSPAN1	9426	3370	4956	3939	3764	2868	3335	4265	6016
POMGNT1	1154	767	759	942	934	1185	978	910	1259
LURAP1	710	640	533	487	393	1265	491	602	806
RAD54L	18	18	16	20	17	14	11	12	35
LRRC41	2168	1106	1132	1216	1135	1645	1311	1141	1816
UQCRH	1008	718	723	2692	2542	1093	1263	1003	1437
LOC101102851	35	22	11	23	41	31	15	16	14
NSUN4	304	212	246	195	129	211	243	196	304
FAAH	410	175	218	460	478	331	354	366	384
LOC101103602	0	0	0	0	0	0	0	0	0
DMBX1	0	0	0	0	0	0	0	0	0
TMEM275	0	0	0	0	6	0	0	0	0
KNCN	0	0	0	0	0	2	0	0	0
MKNK1	492	308	310	435	375	401	388	336	558
MOB3C	240	136	170	195	162	197	133	152	205
ATPAF1	2128	1190	1423	1297	1125	1265	1536	1116	1878
TEX38	0	0	0	3	0	0	0	0	0
EFCAB14	3770	2458	3346	1413	1315	2709	2668	1980	4037
LOC101105114	0	21	0	11	0	2	0	0	10
LOC101105610	26	8	11	9	9	130	15	15	2
LOC114114831	904	12	582	910	884	563	902	4891	798
LOC114114832	19416	19428	12663	8187	9058	4027	5318	14313	12952
LOC101106121	7	2	16	4	8	9	9	22	15
LOC114112991	17	51	19	44	56	27	18	28	38
LOC114112990	42	150	41	210	144	68	64	178	77
PDZK1IP1	12619	9092	10591	16443	16987	4956	14837	11615	8809
TAL1	190	145	97	140	148	198	70	110	157
STIL	34	20	6	26	11	15	12	19	25
LOC114111149	0	0	0	0	0	0	0	0	0
TRNAE-UUC_1	0	0	0	0	0	0	0	0	0
CMPK1	2208	924	1303	1718	1385	1463	1446	1217	2022
FOXE3	0	0	0	0	10	2	3	8	0
LOC114114836	64	79	45	121	145	101	57	31	74
FOXD2	96	58	35	188	168	136	76	93	83
TRABD2B	76	48	81	43	44	129	157	133	118
LOC101114665	2	3	0	0	0	7	0	0	0
LOC101114922	5	4	8	0	3	0	6	3	3
SLC5A9	666	345	425	728	732	447	607	583	876
SPATA6	372	227	299	156	128	240	140	164	143
LOC101115174	2	1	1	2	15	0	6	4	6
LOC114115344	1	0	0	0	0	0	0	0	3
BEND5	828	413	424	673	594	407	501	424	507
TRNAC-ACA_3	0	0	0	0	0	0	0	0	0
LOC114115358	0	0	0	0	0	0	0	0	0
LOC114115385	3	7	4	3	2	27	14	11	16
